AA	volcanic rock [n]
AAH	exclaim in pleasure [v]
AAHED	AAH, exclaim in pleasure [v]
AAHING	AAH, exclaim in pleasure [v]
AAHS	AAH, exclaim in pleasure [v]
AAL	small shrub or tree with yellow fruits [n]
AALII	bushy shrub [n]
AALIIS	AALII, bushy shrub [n]
AALS	AAL, small shrub or tree with yellow fruits [n]
AARDVARK	S African anteater with long ears and snout [n]
AARDVARKS	AARDVARK, S African anteater with long ears and snout [n]
AARDWOLF	nocturnal mammal [n]
AARDWOLVES	AARDWOLF, nocturnal mammal [n]
AARGH	argh (cry of pain)
AARRGH	argh (cry of pain)
AARRGHH	argh (cry of pain)
AARTI	Hindu ceremony [n]
AARTIS	AARTI, Hindu ceremony [n]
AAS	AA, volcanic rock [n]
AASVOGEL	South African bird of prey (archaic) [n]
AASVOGELS	AASVOGEL, South African bird of prey (archaic) (archaic) [n]
AATMAN	atman (personal soul or self)
AATMANS	AATMAN [n]
AB	abdominal muscle [n]
ABA	type of Syrian cloth [n]
ABAC	mathematical diagram [n]
ABACA	species of banana [n]
ABACAS	ABACA, species of banana [n]
ABACI	ABACUS, mathematical instrument [n]
ABACK	towards the back; backwards [adv]
ABACS	ABAC, mathematical diagram [n]
ABACTERIAL	without bacteria [adj]
ABACTINAL	situated away from the mouth [adj]
ABACTINALLY	ABACTINAL, situated away from the mouth [adj]
ABACTOR	cattle thief [n]
ABACTORS	ABACTOR, cattle thief [n]
ABACUS	mathematical instrument [n]
ABACUSES	ABACUS, mathematical instrument [n]
ABAFT	by the rear of (a ship) [adv] / closer to the stern [adj]
ABAKA	abaca [n]
ABAKAS	ABAKA, abaca [n]
ABALONE	edible sea creature [n]
ABALONES	ABALONE, edible sea creature [n]
ABAMP	abampere (cgs unit of current)
ABAMPERE	cgs unit of current [n]
ABAMPERES	ABAMPERE, cgs unit of current [n]
ABAMPS	ABAMP [n]
ABAND	abandon [v]
ABANDED	ABAND, abandon [v]
ABANDING	ABAND, abandon [v]
ABANDON	desert or leave [v] / lack of inhibition [n]
ABANDONED	deserted [adj]
ABANDONEDLY	ABANDONED, deserted [adj]
ABANDONEE	person to whom something is relinquished [n]
ABANDONEES	ABANDONEE, person to whom something is relinquished [n]
ABANDONER	ABANDON, desert or leave [v]
ABANDONERS	ABANDON, desert or leave [v]
ABANDONING	ABANDON, desert or leave [v]
ABANDONMENT	ABANDON, desert or leave [v]
ABANDONMENTS	ABANDON, desert or leave [v]
ABANDONS	ABANDON, desert or leave [v]
ABANDONWARE	software no longer supported by the publisher [n]
ABANDONWARES	ABANDONWARE, software no longer supported by the publisher [n]
ABANDS	ABAND, abandon [v]
ABAPICAL	away from or opposite the apex [adj]
ABAS	ABA, type of Syrian cloth [n]
ABASE	humiliate or degrade (oneself) [v]
ABASED	ABASE, humiliate or degrade (oneself) [v]
ABASEDLY	ABASE, humiliate or degrade (oneself) [v]
ABASEMENT	ABASE, humiliate or degrade (oneself) [v]
ABASEMENTS	ABASE, humiliate or degrade (oneself) [v]
ABASER	ABASE, humiliate or degrade (oneself) [v]
ABASERS	ABASE, humiliate or degrade (oneself) [v]
ABASES	ABASE, humiliate or degrade (oneself) [v]
ABASH	cause to feel ill at ease [v]
ABASHED	embarrassed and ashamed [adj]
ABASHEDLY	ABASHED, embarrassed and ashamed [adj]
ABASHES	ABASH, cause to feel ill at ease [v]
ABASHING	ABASH, cause to feel ill at ease [v]
ABASHLESS	ABASH, cause to feel ill at ease [v]
ABASHMENT	ABASH, cause to feel ill at ease [v]
ABASHMENTS	ABASH, cause to feel ill at ease [v]
ABASIA	disorder affecting ability to walk [n]
ABASIAS	ABASIA, disorder affecting ability to walk [n]
ABASING	ABASE, humiliate or degrade (oneself) [v]
ABASK	in pleasant warmth [adv]
ABATABLE	ABATE, make or become less strong [v]
ABATE	make or become less strong [v]
ABATED	ABATE, make or become less strong [v]
ABATEMENT	diminution or alleviation [n]
ABATEMENTS	ABATEMENT, diminution or alleviation [n]
ABATER	ABATE, make or become less strong [v]
ABATERS	ABATE, make or become less strong [v]
ABATES	ABATE, make or become less strong [v]
ABATING	ABATE, make or become less strong [v]
ABATIS	rampart of felled trees [n]
ABATISES	ABATIS, rampart of felled trees [n]
ABATOR	person who effects an abatement [n]
ABATORS	ABATOR, person who effects an abatement [n]
ABATTIS	abatis (rampart of felled trees)
ABATTISES	ABATTIS [n]
ABATTOIR	place where animals are killed for food [n]
ABATTOIRS	ABATTOIR, place where animals are killed for food [n]
ABATTU	dejected [adj]
ABATURE	trail left by hunted stag [n]
ABATURES	ABATURE, trail left by hunted stag [n]
ABAXIAL	facing away from the axis [adj]
ABAXILE	away from the axis [adj]
ABAYA	Arab outer garment [n]
ABAYAS	ABAYA, Arab outer garment [n]
ABB	yarn used in weaving [n]
ABBA	Coptic bishop [n]
ABBACIES	ABBACY, office of abbot or abbess [n]
ABBACY	office of abbot or abbess [n]
ABBAS	ABBA, Coptic bishop [n]
ABBATIAL	relating to abbot, abbess, or abbey [adj]
ABBE	French abbot [n]
ABBED	displaying strong abdominal muscles [adj]
ABBES	ABBE, French abbot [n]
ABBESS	nun in charge of a convent [n]
ABBESSES	ABBESS, nun in charge of a convent [n]
ABBEY	dwelling place of monks or nuns [n]
ABBEYS	ABBEY, dwelling place of monks or nuns [n]
ABBOT	head of an abbey of monks [n]
ABBOTCIES	ABBOT, head of an abbey of monks [n]
ABBOTCY	ABBOT, head of an abbey of monks [n]
ABBOTS	ABBOT, head of an abbey of monks [n]
ABBOTSHIP	ABBOT, head of an abbey of monks [n]
ABBOTSHIPS	ABBOT, head of an abbey of monks [n]
ABBREVIATE	to make briefer [v]
ABBREVIATED	ABBREVIATE, to make briefer [v]
ABBREVIATES	ABBREVIATE, to make briefer [v]
ABBREVIATING	ABBREVIATE, to make briefer [v]
ABBREVIATION	the act or result of abbreviating [n]
ABBREVIATIONS	ABBREVIATION, the act or result of abbreviating [n]
ABBREVIATOR	ABBREVIATE, to make briefer [v]
ABBREVIATORS	ABBREVIATE, to make briefer [v]
ABBREVIATORY	ABBREVIATE, to make briefer [v]
ABBREVIATURE	ABBREVIATE, to make briefer [v]
ABBREVIATURES	ABBREVIATE, to make briefer [v]
ABBS	ABB, yarn used in weaving [n]
ABCEE	alphabet [n]
ABCEES	ABCEE, alphabet [n]
ABCOULOMB	unit of electric charge [n]
ABCOULOMBS	ABCOULOMB, unit of electric charge [n]
ABDABS	highly nervous state [n]
ABDICABLE	ABDICATE, give up a responsibility [v]
ABDICANT	one who abdicates [n]
ABDICANTS	ABDICANT, one who abdicates [n]
ABDICATE	give up a responsibility [v]
ABDICATED	ABDICATE, give up a responsibility [v]
ABDICATES	ABDICATE, give up a responsibility [v]
ABDICATING	ABDICATE, give up a responsibility [v]
ABDICATION	ABDICATE, give up a responsibility [v]
ABDICATIONS	ABDICATE, give up a responsibility [v]
ABDICATIVE	ABDICATE, give up a responsibility [v]
ABDICATOR	ABDICATE, give up a responsibility [v]
ABDICATORS	ABDICATE, give up a responsibility [v]
ABDOMEN	part of the body [n]
ABDOMENS	ABDOMEN, part of the body [n]
ABDOMINA	ABDOMEN, part of the body [n]
ABDOMINAL	ABDOMEN, part of the body [n]
ABDOMINALLY	ABDOMEN, part of the body [n]
ABDOMINALS	<abdominal>
ABDOMINOPLASTY	type of plastic surgery procedure [n]
ABDOMINOUS	pot-bellied [adj]
ABDUCE	abduct [v]
ABDUCED	ABDUCE, abduct [v]
ABDUCENS	cranial nerve [n]
ABDUCENT	(of a muscle) abducting [adj]
ABDUCENTES	ABDUCENS, cranial nerve [n]
ABDUCES	ABDUCE, abduct [v]
ABDUCING	ABDUCE, abduct [v]
ABDUCT	carry off, kidnap [v]
ABDUCTED	ABDUCT, carry off, kidnap [v]
ABDUCTEE	ABDUCT, carry off, kidnap [v]
ABDUCTEES	ABDUCT, carry off, kidnap [v]
ABDUCTING	ABDUCT, carry off, kidnap [v]
ABDUCTION	act of taking someone away [n]
ABDUCTIONS	ABDUCTION, act of taking someone away [n]
ABDUCTOR	ABDUCT, carry off, kidnap [v]
ABDUCTORES	ABDUCT, carry off, kidnap [v]
ABDUCTORS	ABDUCT, carry off, kidnap [v]
ABDUCTS	ABDUCT, carry off, kidnap [v]
ABEAM	at right angles to a ship [adj]
ABEAR	bear or behave [v]
ABEARING	ABEAR, bear or behave [v]
ABEARS	ABEAR, bear or behave [v]
ABECEDARIAN	one learning the alphabet [n]
ABECEDARIANS	ABECEDARIAN, one learning the alphabet [n]
ABED	in bed (archaic) [adv]
ABEGGING	in the act of begging [adj]
ABEIGH	aloof [adv]
ABELE	white poplar tree [n]
ABELES	ABELE, white poplar tree [n]
ABELIA	garden plant with pink or white flowers [n]
ABELIAN	ABELIA, garden plant with pink or white flowers [n]
ABELIAS	ABELIA, garden plant with pink or white flowers [n]
ABELMOSK	tropical plant [n]
ABELMOSKS	ABELMOSK, tropical plant [n]
ABER	estuary [n]
ABERDEVINE	old name for the siskin when kept as a cagebird [n]
ABERDEVINES	ABERDEVINE, old name for the siskin when kept as a cagebird [n]
ABERNETHIES	ABERNETHY, crisp unleavened biscuit [n]
ABERNETHY	crisp unleavened biscuit [n]
ABERRANCE	ABERRANT, showing aberration [adj]
ABERRANCES	ABERRANT, showing aberration [adj]
ABERRANCIES	ABERRANT, showing aberration [adj]
ABERRANCY	ABERRANT, showing aberration [adj]
ABERRANT	showing aberration [adj] / person whose behaviour is aberrant [n]
ABERRANTLY	ABERRANT, showing aberration [adj]
ABERRANTS	ABERRANT, showing aberration [adj]
ABERRATE	deviate from what is normal [v]
ABERRATED	ABERRATE, deviate from what is normal [v]
ABERRATES	ABERRATE, deviate from what is normal [v]
ABERRATING	ABERRATE, deviate from what is normal [v]
ABERRATION	an instance of being aberrant [n]
ABERRATIONAL	ABERRATION, an instance of being aberrant [n]
ABERRATIONS	ABERRATION, an instance of being aberrant [n]
ABERS	ABER, estuary [n]
ABESSIVE	grammatical case indicating absence [n]
ABESSIVES	ABESSIVE, grammatical case indicating absence [n]
ABET	help in wrongdoing [v]
ABETMENT	ABET, help in wrongdoing [v]
ABETMENTS	ABET, help in wrongdoing [v]
ABETS	ABET, help in wrongdoing [v]
ABETTAL	ABET, help in wrongdoing [v]
ABETTALS	ABET, help in wrongdoing [v]
ABETTED	ABET, help in wrongdoing [v]
ABETTER	ABET, help in wrongdoing [v]
ABETTERS	ABET, help in wrongdoing [v]
ABETTING	ABET, help in wrongdoing [v]
ABETTOR	ABET, help in wrongdoing [v]
ABETTORS	ABET, help in wrongdoing [v]
ABEYANCE	state of being suspended [n]
ABEYANCES	ABEYANCE, state of being suspended [n]
ABEYANCIES	ABEYANCY, abeyance [n]
ABEYANCY	abeyance [n]
ABEYANT	ABEYANCE, state of being suspended [n]
ABFARAD	unit of capacitance [n]
ABFARADS	ABFARAD, unit of capacitance [n]
ABHENRIES	ABHENRY, unit of inductance [n]
ABHENRY	unit of inductance [n]
ABHENRYS	ABHENRY, unit of inductance [n]
ABHOMINABLE	abominable [adj]
ABHOR	detest utterly [v]
ABHORRED	ABHOR, detest utterly [v]
ABHORRENCE	the act of abhorring [n]
ABHORRENCES	ABHORRENCE, the act of abhorring [n]
ABHORRENCIES	ABHOR, detest utterly [v]
ABHORRENCY	ABHOR, detest utterly [v]
ABHORRENT	hateful, loathsome [adj]
ABHORRENTLY	ABHORRENT, hateful, loathsome [adj]
ABHORRER	ABHOR, detest utterly [v]
ABHORRERS	ABHOR, detest utterly [v]
ABHORRING	ABHOR, detest utterly [v]
ABHORRINGS	ABHOR, detest utterly [v]
ABHORS	ABHOR, detest utterly [v]
